epoch,accuracy,loss,val_accuracy,val_loss
0,0.835770845413208,0.4779587686061859,0.8360833525657654,0.5247803330421448
1,0.8380208611488342,0.46463873982429504,0.8180000185966492,0.5724284052848816
2,0.8377500176429749,0.46342888474464417,0.8153333067893982,0.6156692504882812
3,0.8394166827201843,0.45998120307922363,0.824916660785675,0.5626731514930725
4,0.8386666774749756,0.4673590362071991,0.8271666765213013,0.5933177471160889
5,0.8382499814033508,0.46691763401031494,0.7945833206176758,0.6873677372932434
6,0.8389999866485596,0.4594058692455292,0.8271666765213013,0.5895543694496155
7,0.8421249985694885,0.4527260661125183,0.8252500295639038,0.5611371994018555
8,0.8403333425521851,0.45439592003822327,0.8227499723434448,0.5814804434776306
9,0.8416041731834412,0.4517534077167511,0.828499972820282,0.5748674869537354
